seconds,situations,mirrored,probing
31.23,5360000,88,58053829
31.32,5370000,88,58428988
31.40,5380000,88,58701403
31.49,5390000,88,59070860
31.59,5400000,88,59495216
31.66,5410000,88,59766931
31.74,5420000,88,60024339
31.86,5430000,88,60634585
31.98,5440000,88,61277964
32.08,5450000,88,61694336
32.17,5460000,88,62042374
32.28,5470000,88,62543050
32.33,5480000,88,62630815
32.39,5490000,88,62761367
32.45,5500000,88,62899038
32.52,5510000,88,63106803
32.59,5520000,88,63376583
32.67,5530000,88,63663452
32.75,5540000,88,63943764
32.82,5550000,88,64102275
32.88,5560000,88,64308104
32.94,5570000,88,64438464
33.00,5580000,88,64557953
33.06,5590000,88,64728893
33.12,5600000,88,64866585
33.19,5610000,88,65117219
33.27,5620000,88,65383360
33.35,5630000,91,65691723
33.42,5640000,91,65951751
33.50,5650000,91,66263891
33.58,5660000,92,66502049
33.66,5670000,92,66884329
33.74,5680000,92,67173392
33.82,5690000,92,67468164
33.90,5700000,92,67693914
34.00,5710000,92,68200745
34.10,5720000,92,68595122
34.20,5730000,92,69023491
34.28,5740000,92,69343583
34.38,5750000,92,69837940
34.52,5760000,92,70554051
34.61,5770000,92,70946294
34.73,5780000,92,71535044
34.85,5790000,92,72165516
34.97,5800000,92,72716055
35.07,5810000,92,73168269
35.18,5820000,92,73703321
35.29,5830000,92,74180682
35.38,5840000,92,74502205
35.46,5850000,92,74794698
35.54,5860000,92,75086030
35.63,5870000,92,75445551
35.71,5880000,92,75751318
35.77,5890000,93,75915704
35.84,5900000,93,76148681
35.91,5910000,93,76364205
35.97,5920000,93,76495487
36.04,5930000,93,76695109
36.10,5940000,93,76867322
36.17,5950000,93,77052378
36.24,5960000,93,77297619
36.30,5970000,94,77484352
36.37,5980000,94,77705321
36.45,5990000,94,77959224
36.52,6000000,94,78168362
36.58,6010000,94,78399416
36.65,6020000,94,78597018
36.72,6030000,94,78808968
36.79,6040000,94,79067988
36.87,6050000,94,79338565
36.94,6060000,94,79569794
37.01,6070000,94,79840539
37.08,6080000,94,80025769
37.15,6090000,94,80273927
37.21,6100000,95,80474673
37.28,6110000,95,80705018
37.36,6120000,95,80946202
37.43,6130000,95,81202298
37.51,6140000,95,81457819
37.58,6150000,95,81714399
37.65,6160000,95,81958551
37.72,6170000,95,82188518
37.80,6180000,95,82412493
37.86,6190000,95,82621355
37.93,6200000,95,82811687
38.00,6210000,95,83002292
38.06,6220000,95,83184041
38.13,6230000,95,83410422
38.21,6240000,95,83668427
38.27,6250000,95,83819077
38.34,6260000,95,84008016
38.41,6270000,95,84284335
38.48,6280000,95,84491430
38.55,6290000,95,84722536
38.62,6300000,95,84985385
38.70,6310000,95,85219485
38.76,6320000,95,85417608
38.83,6330000,95,85618075
38.89,6340000,95,85799119
38.96,6350000,95,86031106
39.04,6360000,97,86278396
39.10,6370000,97,86429145
39.16,6380000,98,86615265
39.24,6390000,98,86894368
39.31,6400000,100,87134351
39.40,6410000,100,87440650
39.46,6420000,100,87633026
39.54,6430000,100,87876407
39.60,6440000,100,88080167
39.68,6450000,100,88346546
39.75,6460000,100,88515869
39.81,6470000,100,88677750
39.88,6480000,100,88892214
39.94,6490000,100,89089470
40.02,6500000,100,89335136
40.09,6510000,100,89558397
40.16,6520000,101,89789148
40.24,6530000,101,90039094
40.30,6540000,101,90215163
40.37,6550000,101,90380366
40.44,6560000,101,90630766
40.51,6570000,101,90854053
40.58,6580000,101,91077863
40.65,6590000,101,91274014
40.72,6600000,101,91471436
40.80,6610000,101,91783019
40.88,6620000,101,92057425
40.95,6630000,101,92291936
41.03,6640000,101,92572496
41.10,6650000,101,92797198
41.17,6660000,101,93031375
41.26,6670000,101,93408265
41.34,6680000,101,93743982
41.41,6690000,101,93947219
41.47,6700000,101,94116959
41.54,6710000,101,94327980
41.62,6720000,102,94573884
41.68,6730000,102,94740931
41.75,6740000,102,94976435
41.83,6750000,102,95275953
41.90,6760000,102,95510544
41.98,6770000,102,95794958
42.05,6780000,102,95980085
42.14,6790000,102,96371837
42.23,6800000,102,96723260
42.29,6810000,102,96871236
42.36,6820000,102,97128313
42.44,6830000,102,97412077
42.51,6840000,102,97640152
42.59,6850000,102,97913207
42.66,6860000,102,98124299
42.73,6870000,102,98364146
42.80,6880000,102,98623560
42.88,6890000,102,98865334
42.96,6900000,102,99203982
43.04,6910000,102,99440963
43.12,6920000,102,99832101
43.20,6930000,102,100096111
43.28,6940000,102,100370838
43.36,6950000,102,100652843
43.44,6960000,102,100898046
43.52,6970000,102,101156863
43.61,6980000,102,101538261
43.70,6990000,102,101889284
43.77,7000000,102,102147221
43.84,7010000,102,102328402
43.91,7020000,102,102574560
43.99,7030000,102,102849610
44.07,7040000,102,103177887
44.17,7050000,102,103583982
44.24,7060000,102,103827639
44.32,7070000,102,104109376
44.40,7080000,102,104351522
44.47,7090000,102,104552474
44.54,7100000,102,104800450
44.62,7110000,102,105026052
44.68,7120000,102,105220372
44.76,7130000,102,105460752
44.83,7140000,102,105684096
44.90,7150000,102,105933910
44.99,7160000,102,106262385
45.07,7170000,102,106559312
45.14,7180000,103,106814063
45.21,7190000,103,107038952
45.29,7200000,103,107340372
45.38,7210000,103,107697288
