seconds,situations,mirrored,probing
29.09,5080000,80,48306963
29.17,5090000,80,48620445
29.23,5100000,80,48748529
29.30,5110000,80,48908405
29.39,5120000,80,49328230
29.49,5130000,80,49779368
29.57,5140000,80,50071393
29.67,5150000,83,50521142
29.75,5160000,83,50904938
29.84,5170000,83,51281309
29.92,5180000,83,51548103
29.99,5190000,83,51763508
30.06,5200000,83,52026666
30.15,5210000,83,52380236
30.23,5220000,83,52736208
30.32,5230000,85,53114724
30.40,5240000,86,53427767
30.50,5250000,86,53846027
30.57,5260000,86,54094441
30.67,5270000,86,54523172
30.75,5280000,86,54786313
30.85,5290000,86,55284091
30.94,5300000,86,55652795
31.04,5310000,86,56147924
31.15,5320000,86,56616829
31.24,5330000,86,57020705
31.34,5340000,87,57448331
31.43,5350000,87,57795241
31.50,5360000,88,58053829
31.59,5370000,88,58428988
31.66,5380000,88,58701403
31.75,5390000,88,59070860
31.85,5400000,88,59495216
31.93,5410000,88,59766931
32.00,5420000,88,60024339
32.12,5430000,88,60634585
32.25,5440000,88,61277964
32.35,5450000,88,61694336
32.43,5460000,88,62042374
32.55,5470000,88,62543050
32.60,5480000,88,62630815
32.66,5490000,88,62761367
32.72,5500000,88,62899038
32.79,5510000,88,63106803
32.87,5520000,88,63376583
32.95,5530000,88,63663452
33.03,5540000,88,63943764
33.10,5550000,88,64102275
33.16,5560000,88,64308104
33.22,5570000,88,64438464
33.28,5580000,88,64557953
33.35,5590000,88,64728893
33.41,5600000,88,64866585
33.48,5610000,88,65117219
33.56,5620000,88,65383360
33.64,5630000,91,65691723
33.71,5640000,91,65951751
33.79,5650000,91,66263891
33.87,5660000,92,66502049
33.96,5670000,92,66884329
34.04,5680000,92,67173392
34.12,5690000,92,67468164
34.19,5700000,92,67693914
34.30,5710000,92,68200745
34.40,5720000,92,68595122
34.50,5730000,92,69023491
34.58,5740000,92,69343583
34.69,5750000,92,69837940
34.82,5760000,92,70554051
34.92,5770000,92,70946294
35.04,5780000,92,71535044
35.16,5790000,92,72165516
35.28,5800000,92,72716055
35.38,5810000,92,73168269
35.50,5820000,92,73703321
35.60,5830000,92,74180682
35.69,5840000,92,74502205
35.77,5850000,92,74794698
35.85,5860000,92,75086030
35.94,5870000,92,75445551
36.02,5880000,92,75751318
36.09,5890000,93,75915704
36.16,5900000,93,76148681
36.23,5910000,93,76364205
36.29,5920000,93,76495487
36.36,5930000,93,76695109
36.42,5940000,93,76867322
36.49,5950000,93,77052378
36.56,5960000,93,77297619
36.63,5970000,94,77484352
36.70,5980000,94,77705321
36.78,5990000,94,77959224
36.85,6000000,94,78168362
36.92,6010000,94,78399416
36.98,6020000,94,78597018
37.05,6030000,94,78808968
37.12,6040000,94,79067988
37.20,6050000,94,79338565
37.27,6060000,94,79569794
37.34,6070000,94,79840539
37.41,6080000,94,80025769
37.48,6090000,94,80273927
37.55,6100000,95,80474673
37.62,6110000,95,80705018
37.69,6120000,95,80946202
37.77,6130000,95,81202298
37.84,6140000,95,81457819
37.92,6150000,95,81714399
37.99,6160000,95,81958551
38.06,6170000,95,82188518
38.13,6180000,95,82412493
38.20,6190000,95,82621355
38.26,6200000,95,82811687
38.33,6210000,95,83002292
38.40,6220000,95,83184041
38.47,6230000,95,83410422
38.54,6240000,95,83668427
38.60,6250000,95,83819077
38.67,6260000,95,84008016
38.74,6270000,95,84284335
38.81,6280000,95,84491430
38.88,6290000,95,84722536
38.96,6300000,95,84985385
39.03,6310000,95,85219485
39.10,6320000,95,85417608
39.16,6330000,95,85618075
39.23,6340000,95,85799119
39.30,6350000,95,86031106
39.38,6360000,97,86278396
39.44,6370000,97,86429145
39.50,6380000,98,86615265
39.58,6390000,98,86894368
39.65,6400000,100,87134351
39.73,6410000,100,87440650
39.80,6420000,100,87633026
39.87,6430000,100,87876407
39.94,6440000,100,88080167
40.02,6450000,100,88346546
40.08,6460000,100,88515869
40.15,6470000,100,88677750
40.22,6480000,100,88892214
40.29,6490000,100,89089470
40.36,6500000,100,89335136
40.43,6510000,100,89558397
40.50,6520000,101,89789148
40.58,6530000,101,90039094
40.65,6540000,101,90215163
40.71,6550000,101,90380366
40.79,6560000,101,90630766
40.86,6570000,101,90854053
40.93,6580000,101,91077863
41.00,6590000,101,91274014
41.07,6600000,101,91471436
41.15,6610000,101,91783019
41.23,6620000,101,92057425
41.31,6630000,101,92291936
41.39,6640000,101,92572496
41.45,6650000,101,92797198
41.53,6660000,101,93031375
41.62,6670000,101,93408265
41.71,6680000,101,93743982
41.77,6690000,101,93947219
41.83,6700000,101,94116959
41.90,6710000,101,94327980
41.97,6720000,102,94573884
42.04,6730000,102,94740931
42.11,6740000,102,94976435
42.19,6750000,102,95275953
42.27,6760000,102,95510544
42.35,6770000,102,95794958
42.41,6780000,102,95980085
42.51,6790000,102,96371837
42.59,6800000,102,96723260
42.65,6810000,102,96871236
42.73,6820000,102,97128313
42.81,6830000,102,97412077
42.87,6840000,102,97640152
42.95,6850000,102,97913207
43.02,6860000,102,98124299
43.10,6870000,102,98364146
43.17,6880000,102,98623560
43.25,6890000,102,98865334
43.33,6900000,102,99203982
43.41,6910000,102,99440963
43.50,6920000,102,99832101
43.57,6930000,102,100096111
43.65,6940000,102,100370838
43.73,6950000,102,100652843
43.81,6960000,102,100898046
43.89,6970000,102,101156863
43.98,6980000,102,101538261
44.07,6990000,102,101889284
44.15,7000000,102,102147221
44.21,7010000,102,102328402
44.29,7020000,102,102574560
44.37,7030000,102,102849610
44.45,7040000,102,103177887
44.55,7050000,102,103583982
44.62,7060000,102,103827639
44.70,7070000,102,104109376
44.78,7080000,102,104351522
44.85,7090000,102,104552474
44.92,7100000,102,104800450
45.00,7110000,102,105026052
45.07,7120000,102,105220372
45.14,7130000,102,105460752
45.22,7140000,102,105684096
45.29,7150000,102,105933910
45.38,7160000,102,106262385
45.46,7170000,102,106559312
45.53,7180000,103,106814063
45.60,7190000,103,107038952
45.68,7200000,103,107340372
45.77,7210000,103,107697288
45.85,7220000,103,108005329
45.92,7230000,103,108211999
46.00,7240000,104,108474641
46.10,7250000,104,108858872
46.17,7260000,104,109115810
46.25,7270000,104,109379982
46.32,7280000,104,109615195
46.39,7290000,104,109856243
46.47,7300000,104,110162211
46.54,7310000,104,110339890
46.62,7320000,104,110622105
46.71,7330000,104,110993549
46.79,7340000,104,111313576
46.86,7350000,104,111505047
46.95,7360000,104,111919256
47.04,7370000,104,112275905
47.15,7380000,104,112721946
47.22,7390000,104,112999681
47.31,7400000,104,113347984
47.39,7410000,104,113671771
47.46,7420000,104,113879380
47.54,7430000,104,114140726
47.62,7440000,104,114411984
47.70,7450000,104,114771307
47.79,7460000,104,115108044
47.88,7470000,104,115414999
47.94,7480000,104,115639015
